COD;RUA;SAL;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;LAT;LONG
350600305000450;CRUZAMENTO DA RODOVIA MARECHAL RONDON SP-300 COM A RODOVIA BAURU / JAÚ SP-225.;7912.49;;;;;-23.213206800;-47.4905442000
350600305000509;CRUZAMENTO DA DIVISA DO FRIGORÍFICO MONDELLI COM RUA ARLINDO PINTO FERREIRA.;7693.65;;;;;-22.334561200;-49.0343943000
350600305000410;CRUZAMENTO DA RUA PROFESSOR NEMPUKU SATO COM A RUA BARÃO DE ITAPETININGA.;7655.94;;;;;-22.333074400;-49.0269694000
350600305000199;CRUZAMENTO DA AVENIDA GETÚLIO VARGAS COM A RUA JOÃO ABO ARRAGE.;7275.78;;;;;-29.652752100;-50.5717716000
350600305000107;CRUZAMENTO DA RUA ALFREDO RUIZ COM A RUA DOMICIANO SILVA.;7265.75;;;;;-23.463090100;-46.6967413000
350600305000155;CRUZAMENTO DA RUA RIO BRANCO COM A RUA JÚLIO MARINGONI.;7006.39;;;;;-29.960259000;-51.7135435000
350600305000201;CRUZAMENTO DA AVENIDA NOSSA SENHORA DE FÁTIMA COM A RUA ELZEÁRIO BARBOSA.;6936.04;;;;;-22.798601900;-45.1743234000
350600305000200;CRUZAMENTO DA RUA RIO BRANCO COM A RUA LUSO BRASILEIRO.;6895.09;;;;;-29.960259000;-51.7135435000
350600305000156;CRUZAMENTO DA RUA AZARIAS LEITE COM A RUA JÚLIO MARINGONI.;6800.14;;;;;-21.232579200;-45.0036329000
350600305000202;CRUZAMENTO DA RUA ALFREDO FONTAO COM RUA ELZEARIO BARBOSA.;6159.98;;;;;-22.798601900;-45.1743234000
350600305000411;CRUZAMENTO DA RUA CYRENIO FERRAZ DE AGUIAR COM A RUA ALZIRO ZARUR.;6033.44;;;;;-22.336361500;-49.0284680000
350600305000377;CRUZAMENTO DA RUA BENEDITO RIBEIRO DOS SANTOS COM A RUA MARECHAL DEODORO.;5817.43;;;;;-22.334561200;-49.0343943000
350600305000257;CRUZAMENTO DA AVENIDA NAÇÕES UNIDAS COM A RUA ABRAHÃO RAHAL.;5721.92;;;;;-5.106612800;-42.8103603000
350600305000259;CRUZAMENTO DA RUA PROFESSOR GERSON RODRIGUES COM A RUA IBRAIN NOBRE.;5562.99;;;;;-22.338319600;-49.0564754000
350600305000154;CRUZAMENTO DA RUA RIO BRANCO COM A RUA ANTÔNIO GARCIA.;5449.24;;;;;-29.960259000;-51.7135435000
350600305000506;CRUZAMENTO DO CÓRREGO ÁGUA COMPRIDA COM RUA ADANTE GIGO.;5297.07;;;;;-22.321418100;-49.1272217000
350600305000153;CRUZAMENTO DA RUA SAINT MARTIN COM A RUA JOAQUIM DA SILVA MARTHA.;4872.81;;;;;-16.671607100;-49.2166578000
350600305000105;CRUZAMENTO DA RUA AGENOR MEIRA COM A RUA PADRE JOÃO.;4486.02;;;;;-22.332199000;-49.0703225000
350600305000196;ENTRONCAMENTO DA AVENIDA NAÇÕES UNIDAS COM A RUA ALMEIDA CINTRA.;4458.91;;;;;-5.106612800;-42.8103603000
350600305000256;ENTRONCAMENTO DA RODOVIA MARECHAL RONDON SP-300 COM A RUA FRANCISCO PAES.;4430.79;;;;;-23.213206800;-47.4905442000
350600305000298;CRUZAMENTO DA RUA HENRIQUE SAVI COM A RUA FELÍCIO SOUBHIE.;4403.97;;;;;-22.338226300;-49.0531724000
350600305000299;CRUZAMENTO DA AVENIDA GETÚLIO VARGAS COM A RUA IGNÁCIO JORGE NASRALLA.;4346.59;;;;;-29.652752100;-50.5717716000
350600305000297;CRUZAMENTO DA RUA JOSÉ ABRAÇOS SANTINHO COM A AVENIDA CRUZEIRO DO SUL.;4191.28;;;;;-22.320703000;-49.0404566000
350600305000099;CRUZAMENTO DA RUA MONTEIRO LOBATO COM A RUA PRESIDENTE KENNEDY.;3937.94;;;;;-22.019575100;-47.8769762000
350600305000195;CRUZAMENTO DA RUA PIAUÍ COM A RUA IRMÃ ARMINDA.;3918.60;;;;;-20.422556900;-49.9782808000
350600305000343;CRUZAMENTO DA AVENIDA DAS LARANJEIRAS COM A RUA MARECHAL DEODORO.;3903.42;;;;;38.738869000;-9.2223024000
350600305000486;CRUZAMENTO DA RUA MARIA JOSÉ COM A RUA PADRE JOÃO.;3794.48;;;;;-22.880214900;-43.3448367000
350600305000261;CRUZAMENTO DA AVENIDA NOSSA SENHORA DE FÁTIMA COM A RUA INÁCIO ALEXANDRE NASRALLA.;3768.02;;;;;-22.798601900;-45.1743234000
350600305000104;CRUZAMENTO DA TRAVESSA JOSÉ F. FIGUEIREDO COM A RUA MARIA JOSÉ.;3730.88;;;;;-2.587694800;-49.5102836000
350600305000106;CRUZAMENTO DA RUA AZARIAS LEITE COM A RUA DOMICIANO SILVA.;3693.56;;;;;-21.232579200;-45.0036329000
350600305000063;RUA AGENOR MEIRA COM A AVENIDA DUQUE DE CAXIAS.;3675.65;;;;;-22.332199000;-49.0703225000
350600305000487;"CRUZAMENTO DA RUA PANAMÁ COM A RUA EQUADOR.
";3656.68;;;;;-5.107620900;-42.7859315000
350600305000192;CRUZAMENTO DA RUA PIAUÍ COM A AVENIDA CRUZEIRO DO SUL.;3635.41;;;;;-20.422556900;-49.9782808000
350600305000490;ENTRONCAMENTO DO PROLONGAMENTO DA RUA SEVERINO MARTINS DA CUNHA COM OS TRILHOS DA NOROESTE.;3633.80;;;;;-23.735032400;-46.4079210000
350600305000149;ENTRONCAMENTO DA RUA SÃO LUIZ COM A AVENIDA CRUZEIRO DO SUL.;3494.14;;;;;-22.807848200;-47.2306184000
350600305000258;CRUZAMENTO DA RUA PROFESSOR GERSON RODRIGUES COM A RUA ABRAHAO RAHAL.;3460.30;;;;;-22.338319600;-49.0564754000
350600305000504;CRUZAMENTO DA ALAMEDA TRÊS LAGOAS COM A RUA JOÃO QUAGGIO.;3456.45;;;;;-22.321418100;-49.1272217000
350600305000059;RUA ENGENHEIRO SAINT MARTIN COM A AVENIDA RODRIGUES ALVES.;3409.08;;;;;-22.318798800;-49.0688239000
350600305000193;CRUZAMENTO DA RUA PIAUÍ COM A AVENIDA DUQUE DE CAXIAS.;3405.88;;;;;-20.422556900;-49.9782808000
350600305000025; RUA AGENOR MEIRA COM A RUA BATISTA DE CARVALHO.;3385.36;;;;;-22.332199000;-49.0703225000
350600305000103;CRUZAMENTO DA RUA SÃO GONÇALO COM A AVENIDA NAÇÕES UNIDAS.;3371.60;;;;;-13.647340000;-41.8452950000
350600305000480;CRUZAMENTO DA RUA ANTÔNIO PADILHA COM A RUA BOA ESPERANÇA.;3348.80;;;;;-6.391198300;-35.5976677000
350600305000497;"RESIDENCIAL VILA VERDE - LOCALIZADO NA RUA CRISTIANO PAGANI NÚMERO 8-51.
";3334.27;;;;;-22.318973500;-49.0556085000
350600305000194;CRUZAMENTO DA AVENIDA NAÇÕES UNIDAS COM A RUA JOAQUIM DA SILVA MARTA.;3201.30;;;;;-5.106612800;-42.8103603000
350600305000026; RUA VIRGÍLIO MALTA COM A RUA BATISTA DE CARVALHO.;3165.29;;;;;-22.329072200;-49.0733677000
350600305000151;CRUZAMENTO DA RUA HERMÍNIO PINTO COM A AVENIDA DUQUE DE CAXIAS.;3143.21;;;;;-22.323777300;-49.0621548000
350600305000070;RUA FELICÍSSIMO ANTÔNIO PEREIRA COM A RUA ITORORÓ.;3141.41;;;;;-22.353717500;-49.0880182000
350600305000102;CRUZAMENTO DA RUA PROFESSOR JOSÉ RANIERI COM A RUA DA CONSTITUICAO.;3086.21;;;;;-22.326231800;-49.0656716000
350600305000064;RUA VIRGÍLIO MALTA COM A AVENIDA DUQUE DE CAXIAS.;3067.81;;;;;-22.329072200;-49.0733677000
350600305000100;CRUZAMENTO DA RUA HERMÍNIO PINTO COM A RUA VOLUNTÁRIOS DA PÁTRIA.;3061.47;;;;;-22.323777300;-49.0621548000
350600305000027; RUA VIRGÍLIO MALTA COM A PRAÇA RODRIGUES DE ABREU.;3035.63;;;;;-22.329072200;-49.0733677000
350600305000111;CRUZAMENTO DA RUA FELICISSIMO ANTÔNIO PEREIRA COM A RUA COLOMBIA.;3021.68;;;;;-22.353717500;-49.0880182000
350600305000482;CRUZAMENTO DA RUA EUGENIO BORRO COM A RUA DONA MARIETA FRANCA.;3005.40;;;;;-22.314931600;-49.0904670000
350600305000244;CRUZAMENTO DA RUA GALVÃO DE CASTRO COM A RUA ESPÍRITO SANTO.;2981.77;;;;;-22.328044700;-49.0459870000
350600305000254;RUA VICTOR C. DE AVILA SANTOS PORTÃO 9 A 10 E RUA SEBASTIÃO PREGNOLATO PORTÃO 6 E 8 NO RESIDENCIAL FLAMBOYANTS.;2943.16;;;;;-23.213206800;-47.4905442000
350600305000060;RUA ENGENHEIRO SAINT MARTIN COM A RUA CONSELHEIRO ANTÔNIO PRADO.;2937.40;;;;;-22.318798800;-49.0688239000
